Initial Data
Flat Number         |Floor               |Area                |Room Count          |Price               |Phone Number        |
                   1|                   1|               54,12|                   3|               45000|           861234578|
                   2|                   1|               63,14|                   3|               50000|           861512345|
                   3|                   1|               45,25|                   2|               42500|           864522332|
                   4|                   2|               22,12|                   1|               37125|           867822312|
                   5|                   2|               42,12|                   2|               40500|           861253324|
                   6|                   2|               35,41|                   1|               40512|           861253324|
                   7|                   3|               63,14|                   3|               50000|           861512345|
                   8|                   3|               45,25|                   2|               42500|           864522332|
                   9|                   3|               22,12|                   5|               37125|           867822312|
                  10|                   4|               42,12|                   2|               41500|           861452225|
                  11|                   4|               54,12|                   3|               45000|           861234578|
                  12|                   4|               63,14|                   3|               50000|           861512345|
                  13|                   5|               22,12|                   1|               37125|           867822312|
                  14|                   5|               41,12|                   2|               40500|           861452325|
                  15|                   5|               35,41|                   1|               40512|           861253324|
                  16|                   6|               63,14|                   3|               50000|           861512345|
                  17|                   6|               45,25|                   5|               42500|           864522332|
                  18|                   6|               22,12|                   5|               37125|           867822312|
                  19|                   7|               45,12|                   5|               39500|           861452245|
                  20|                   7|               54,12|                   5|               45000|           861234578|
                  21|                   7|               63,14|                   3|               50000|           861512345|
                  22|                   8|               45,25|                   2|               42500|           864522332|
                  23|                   8|               22,12|                   1|               37125|           867822312|
                  24|                   8|               42,12|                   5|               40500|           861452225|
                  25|                   9|               35,41|                   5|               40512|           861253324|
                  26|                   9|               22,12|                   5|               37125|           867822312|
                  27|                   9|               48,12|                   5|               34500|           861451225|
                  28|                   1|               54,12|                   3|               45000|           861234578|
                  29|                   1|               63,14|                   3|               50000|           861512345|
                  30|                   1|               45,25|                   2|               42500|           864522332|
                  31|                   2|               22,12|                   1|               37125|           867822312|
                  32|                   2|               42,12|                   2|               40500|           861253324|
                  33|                   2|               35,41|                   1|               40512|           861253324|
                  34|                   3|               63,14|                   3|               50000|           861512345|
                  35|                   3|               45,25|                   2|               42500|           864522332|
                  36|                   3|               22,12|                   5|               37125|           867822312|
                  37|                   4|               42,12|                   2|               41500|           861452225|
                  38|                   4|               54,12|                   3|               45000|           861234578|
                  39|                   4|               63,14|                   3|               50000|           861512345|
                  40|                   5|               22,12|                   1|               37125|           867822312|
                  41|                   5|               41,12|                   2|               40500|           861452325|
                  42|                   5|               35,41|                   1|               40512|           861253324|
                  43|                   6|               63,14|                   3|               50000|           861512345|
                  44|                   6|               45,25|                   5|               42500|           864522332|
                  45|                   6|               22,12|                   1|               37125|           867822312|
                  46|                   7|               45,12|                   2|               39500|           861452245|
                  47|                   7|               54,12|                   3|               45000|           861234578|
                  48|                   7|               63,14|                   3|               50000|           861512345|
                  49|                   8|               45,25|                   2|               42500|           864522332|
                  50|                   8|               22,12|                   1|               37125|           867822312|
                  51|                   8|               42,12|                   2|               40500|           861452225|
                  52|                   9|               35,41|                   5|               40512|           861253324|
                  53|                   9|               22,12|                   5|               37125|           867822312|
                  54|                   9|               48,12|                   5|               34500|           861451225|
                  55|                   1|               54,12|                   5|               45000|           861234578|
                  56|                   1|               63,14|                   3|               50000|           861512345|
                  57|                   1|               45,25|                   2|               42500|           864522332|
                  58|                   2|               22,12|                   1|               37125|           867822312|
                  59|                   2|               42,12|                   2|               40500|           861253324|
                  60|                   2|               35,41|                   1|               40512|           861253324|
                  61|                   3|               63,14|                   3|               50000|           861512345|
                  62|                   3|               45,25|                   2|               42500|           864522332|
                  63|                   3|               22,12|                   5|               37125|           867822312|
                  64|                   4|               42,12|                   5|               41500|           861452225|
                  65|                   4|               54,12|                   3|               45000|           861234578|
                  66|                   4|               63,14|                   3|               50000|           861512345|
                  67|                   5|               22,12|                   1|               37125|           867822312|
                  68|                   5|               41,12|                   2|               40500|           861452325|
                  69|                   5|               35,41|                   1|               40512|           861253324|
                  70|                   6|               63,14|                   3|               50000|           861512345|
                  71|                   6|               45,25|                   2|               42500|           864522332|
                  72|                   6|               22,12|                   5|               37125|           867822312|
                  73|                   7|               45,12|                   5|               39500|           861452245|
                  74|                   7|               54,12|                   3|               45000|           861234578|
                  75|                   7|               63,14|                   3|               50000|           861512345|
                  76|                   8|               45,25|                   2|               42500|           864522332|
                  77|                   8|               22,12|                   1|               37125|           867822312|
                  78|                   8|               42,12|                   2|               40500|           861452225|
                  79|                   9|               35,41|                   1|               40512|           861253324|
                  80|                   9|               22,12|                   5|               37125|           867822312|
                  81|                   9|               48,12|                   5|               34500|           861451225|

Filtered Data:
Flat Number         |Floor               |Area                |Room Count          |Price               |Phone Number        |
No Data Found

